Name,Year,Rating,Review Length,Rating Count
The Shawshank Redemption,1994,9.2,10832,2740106
The Godfather,1972,9.2,5363,1905460
The Dark Knight,2008,9.0,8502,2713067
The Godfather Part II,1974,9.0,1328,1298660
12 Angry Men,1957,9.0,2057,811062
Schindler's List,1993,8.9,2170,1382857
The Lord of the Rings: The Return of the King,2003,8.9,4172,1883999
Pulp Fiction,1994,8.8,3583,2105598
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,5731,1912750
"The Good, the Bad and the Ugly",1966,8.8,1332,776001
Forrest Gump,1994,8.8,3078,2132078
Fight Club,1999,8.7,4428,2181905
The Lord of the Rings: The Two Towers,2002,8.7,2733,1700624
Inception,2010,8.7,4714,2408301
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1423,1318827
The Matrix,1999,8.7,4901,1954314
Goodfellas,1990,8.7,1604,1189203
One Flew Over the Cuckoo's Nest,1975,8.6,1152,1027192
Se7en,1995,8.6,1871,1694166
It's a Wonderful Life,1946,8.6,1199,471440
Seven Samurai,1954,8.6,822,352314
The Silence of the Lambs,1991,8.6,1601,1464965
Saving Private Ryan,1998,8.6,2910,1420964
City of God,2002,8.6,1145,769817
Interstellar,2014,8.6,5375,1904404
Life Is Beautiful,1997,8.6,1464,709998
The Green Mile,1999,8.6,2090,1332514
Star Wars: Episode IV - A New Hope,1977,8.5,2079,1391366
Terminator 2: Judgment Day,1991,8.5,1525,1121274
Back to the Future,1985,8.5,1473,1236050
Spirited Away,2001,8.5,1641,787782
The Pianist,2002,8.5,1069,854237
Psycho,1960,8.5,1530,686496
Parasite,2019,8.5,3563,851195
Léon: The Professional,1994,8.5,1454,1187132
Gladiator,2000,8.5,2918,1533504
The Lion King,1994,8.5,1196,1083070
American History X,1998,8.5,1702,1141763
The Departed,2006,8.5,2552,1353780
Whiplash,2014,8.5,1650,901617
The Prestige,2006,8.5,1701,1362060
The Usual Suspects,1995,8.5,1485,1102976
Casablanca,1942,8.5,1518,582666
Grave of the Fireflies,1988,8.5,952,286612
Harakiri,1962,8.5,304,60736
The Intouchables,2011,8.5,826,879973
Modern Times,1936,8.4,358,247935
Once Upon a Time in the West,1968,8.4,832,336631
Cinema Paradiso,1988,8.4,616,267957
Rear Window,1954,8.4,994,501180
Alien,1979,8.4,1748,901825
City Lights,1931,8.4,353,188312
Apocalypse Now,1979,8.4,1385,681181
Memento,2000,8.4,2485,1261591
Django Unchained,2012,8.4,1848,1596124
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,1077,984558
WALL·E,2008,8.4,1504,1140727
The Lives of Others,2006,8.4,579,396216
Sunset Blvd.,1950,8.4,709,226558
Paths of Glory,1957,8.4,507,201928
The Shining,1980,8.4,2173,1047107
The Great Dictator,1940,8.4,326,228380
Avengers: Infinity War,2018,8.4,4583,1119737
Witness for the Prosecution,1957,8.4,347,129279
Aliens,1986,8.3,1506,731511
Spider-Man: Into the Spider-Verse,2018,8.3,2134,561158
American Beauty,1999,8.3,3016,1172328
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,1047,499774
The Dark Knight Rises,2012,8.3,3765,1738736
Inglourious Basterds,2009,8.3,2130,1488791
Oldboy,2003,8.3,1190,595053
Amadeus,1984,8.3,720,409181
Coco,2017,8.3,1367,532149
Toy Story,1995,8.3,757,1016111
Braveheart,1995,8.3,1419,1054454
Joker,2019,8.3,11411,1349855
Das Boot,1981,8.3,572,255348
Avengers: Endgame,2019,8.3,9543,1176109
Princess Mononoke,1997,8.3,800,405900
Good Will Hunting,1997,8.3,1039,1001517
Once Upon a Time in America,1984,8.3,829,359686
Your Name.,2016,8.3,1014,285402
Singin' in the Rain,1952,8.3,791,248545
3 Idiots,2009,8.3,960,410177
Requiem for a Dream,2000,8.3,2366,860348
High and Low,1963,8.3,161,47661
Toy Story 3,2010,8.3,985,853579
Capernaum,2018,8.3,481,94883
Star Wars: Episode VI - Return of the Jedi,1983,8.3,965,1075756
2001: A Space Odyssey,1968,8.3,2526,684211
Eternal Sunshine of the Spotless Mind,2004,8.3,2041,1029711
Come and See,1985,8.3,647,85485
Reservoir Dogs,1992,8.3,1311,1041251
The Hunt,2012,8.3,553,340659
Lawrence of Arabia,1962,8.2,764,300640
Citizen Kane,1941,8.2,1642,450082
M,1931,8.2,421,161494
Ikiru,1952,8.2,261,81628
North by Northwest,1959,8.2,714,334152
The Apartment,1960,8.2,417,186303
Vertigo,1958,8.2,1028,410361
Amélie,2001,8.2,1589,768824
Double Indemnity,1944,8.2,462,160618
A Clockwork Orange,1971,8.2,1729,846668
Full Metal Jacket,1987,8.2,964,757505
Scarface,1983,8.2,1258,864293
Incendies,2010,8.2,335,183477
Heat,1995,8.2,1305,673357
Hamilton,2020,8.2,734,100983
Up,2009,8.2,1072,1067379
To Kill a Mockingbird,1962,8.2,618,321837
The Sting,1973,8.2,360,269200
A Separation,2011,8.2,429,249197
Metropolis,1927,8.2,548,178043
Die Hard,1988,8.2,1132,900194
L.A. Confidential,1997,8.2,808,592449
Taxi Driver,1976,8.2,1413,861833
Indiana Jones and the Last Crusade,1989,8.2,677,769809
Snatch,2000,8.2,931,872740
Bicycle Thieves,1948,8.2,360,167333
Like Stars on Earth,2007,8.2,448,197693
1917,2019,8.2,3438,618888
Top Gun: Maverick,2022,8.2,4182,583854
Downfall,2004,8.2,689,361935
Dangal,2016,8.2,470,196925
For a Few Dollars More,1965,8.2,358,262421
Batman Begins,2005,8.2,3137,1500753
The Kid,1921,8.2,238,129114
Some Like It Hot,1959,8.2,505,272768
The Father,2020,8.2,1040,167587
All About Eve,1950,8.2,435,133890
The Wolf of Wall Street,2013,8.2,1789,1459232
Green Book,2018,8.2,1759,517351
Judgment at Nuremberg,1961,8.2,253,79805
Ran,1985,8.2,337,128889
Casino,1995,8.2,740,533638
The Truman Show,1998,8.2,1433,1114581
There Will Be Blood,2007,8.2,1533,601321
Pan's Labyrinth,2006,8.2,1376,680158
Unforgiven,1992,8.2,699,420283
Guardians of the Galaxy Vol. 3,2023,8.2,817,113242
Shutter Island,2010,8.2,1606,1357524
The Sixth Sense,1999,8.2,2346,1009731
Jurassic Park,1993,8.2,1383,1012167
A Beautiful Mind,2001,8.2,1395,949073
Yojimbo,1961,8.1,237,125694
The Treasure of the Sierra Madre,1948,8.1,324,127753
Monty Python and the Holy Grail,1975,8.1,849,551129
No Country for Old Men,2007,8.1,2103,999591
Kill Bill: Vol. 1,2003,8.1,2440,1138998
The Great Escape,1963,8.1,433,249193
Rashomon,1950,8.1,404,172475
The Thing,1982,8.1,1333,437719
Finding Nemo,2003,8.1,1070,1064734
Spider-Man: No Way Home,2021,8.1,6141,793328
The Elephant Man,1980,8.1,477,247450
Chinatown,1974,8.1,617,334202
V for Vendetta,2005,8.1,2433,1139478
Raging Bull,1980,8.1,659,362539
Gone with the Wind,1939,8.1,988,322042
Dial M for Murder,1954,8.1,421,180303
"Lock, Stock and Two Smoking Barrels",1998,8.1,641,594356
Inside Out,2015,8.1,1184,734627
Howl's Moving Castle,2004,8.1,576,410668
The Secret in Their Eyes,2009,8.1,347,213842
"Three Billboards Outside Ebbing, Missouri",2017,8.1,1372,524995
Trainspotting,1996,8.1,703,700238
The Bridge on the River Kwai,1957,8.1,384,225382
Prisoners,2013,8.1,1235,743646
Fargo,1996,8.1,1090,691751
Warrior,2011,8.1,825,481281
Gran Torino,2008,8.1,1112,788615
Catch Me If You Can,2002,8.1,1002,1018523
My Neighbor Totoro,1988,8.1,573,351739
Million Dollar Baby,2004,8.1,1350,699201
Children of Heaven,1997,8.1,205,76588
Blade Runner,1982,8.1,1772,786666
The Gold Rush,1925,8.1,227,113733
Klaus,2019,8.1,833,165674
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1103,898804
Before Sunrise,1995,8.1,608,319680
12 Years a Slave,2013,8.1,982,714831
Ben-Hur,1959,8.1,500,244872
The Grand Budapest Hotel,2014,8.1,1075,836604
On the Waterfront,1954,8.1,391,158327
Gone Girl,2014,8.1,1759,1006871
The General,1926,8.1,344,93726
Wild Strawberries,1957,8.1,222,109863
Barry Lyndon,1975,8.1,537,173431
In the Name of the Father,1993,8.1,225,179616
The Deer Hunter,1978,8.1,1216,346267
Hacksaw Ridge,2016,8.1,1157,548066
The Third Man,1949,8.1,535,175174
The Wages of Fear,1953,8.1,196,63072
Memories of Murder,2003,8.1,400,195119
Sherlock Jr.,1924,8.1,356,52282
Wild Tales,2014,8.1,282,204812
Mr. Smith Goes to Washington,1939,8.1,336,117475
Mad Max: Fury Road,2015,8.1,2298,1028102
John Wick: Chapter 4,2023,8.1,939,148203
Mary and Max,2009,8.1,260,180594
How to Train Your Dragon,2010,8.1,725,759787
Dead Poets Society,1989,8.1,774,508543
"Monsters, Inc.",2001,8.1,776,930348
The Seventh Seal,1957,8.1,401,189602
Jaws,1975,8.1,1442,622513
Room,2015,8.1,808,431063
The Big Lebowski,1998,8.1,1419,825968
Tokyo Story,1953,8.1,203,63977
Ford v Ferrari,2019,8.1,1637,416565
The Passion of Joan of Arc,1928,8.1,239,57170
Hotel Rwanda,2004,8.0,712,361528
Rocky,1976,8.0,819,597213
Ratatouille,2007,8.0,875,764204
Platoon,1986,8.0,669,422773
Logan,2017,8.0,1759,785749
Spotlight,2015,8.0,702,481456
The Terminator,1984,8.0,1062,883976
Stand by Me,1986,8.0,796,416565
Rush,2013,8.0,654,490343
Network,1976,8.0,438,163254
Before Sunset,2004,8.0,604,273315
The Wizard of Oz,1939,8.0,806,409764
Into the Wild,2007,8.0,1103,634339
The Best Years of Our Lives,1946,8.0,350,66976
The Exorcist,1973,8.0,1432,420387
Groundhog Day,1993,8.0,925,649474
The Incredibles,2004,8.0,1037,759677
La haine,1995,8.0,261,180990
To Be or Not to Be,1942,8.0,166,39551
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,2358,1151680
Hachi: A Dog's Tale,2009,8.0,636,294298
The Grapes of Wrath,1940,8.0,435,95992
The Battle of Algiers,1966,8.0,318,62313
Pather Panchali,1955,8.0,190,34907
Jai Bhim,2021,8.0,3423,206467
Amores Perros,2000,8.0,419,245104
My Father and My Son,2005,8.0,141,88101
Rebecca,1940,8.0,401,140611
The Handmaiden,2016,8.0,340,156478
Cool Hand Luke,1967,8.0,389,181399
The Sound of Music,1965,8.0,540,244144
It Happened One Night,1934,8.0,361,107088
The 400 Blows,1959,8.0,251,121902
Persona,1966,8.0,281,123384
Life of Brian,1979,8.0,455,408328
The Iron Giant,1999,8.0,630,208378
The Help,2011,8.0,664,471646
Aladdin,1992,8.0,394,435486
Dances with Wolves,1990,8.0,581,275916
